or,de,Distance
100+Lippincott+Street+Toronto,BATHURST+STATION,1079
973+Lansdowne+Avenue+Toronto,BATHURST+STATION,3418
43+Christie+Street+Toronto,BATHURST+STATION,754
1229+Ellesmere+Road+Toronto,BATHURST+STATION,20156
1651+Sheppard+Ave+West+Toronto,BATHURST+STATION,13252
4222+Kingston+Road+Toronto,BATHURST+STATION,21536
38+Bathrust+St+Toronto,BATHURST+STATION,2848
291+Sherbourne+Street+Toronto,BATHURST+STATION,4054
3306+Kingston+Road+Toronto,BATHURST+STATION,17876
339+George+Street+Toronto,BATHURST+STATION,3952
129+Peter+St+Toronto,BATHURST+STATION,3015
674+Dundas+St.+W+Toronto,BATHURST+STATION,1789
616+Vaughan+Road+Toronto+Toronto,BATHURST+STATION,4104
20+Gerrard+Street+East+Toronto,BATHURST+STATION,3252
2714+Danforth+Avenue+Toronto,BATHURST+STATION,9642
349+George+Street+Toronto,BATHURST+STATION,3883
60+Brant+Street+Toronto,BATHURST+STATION,2630
360+Lesmill+Road+North+York,BATHURST+STATION,15076
25+Canterbury+Place+North+York,BATHURST+STATION,13563
"490+Sherbourne+Street,+2nd+floor+Toronto",BATHURST+STATION,3508
512+Jarvis+St.+Toronto,BATHURST+STATION,3107
86+Lombard+St.+Toronto,BATHURST+STATION,4504
1161+Caledonia+Road+Toronto,BATHURST+STATION,8426
412+Queen+Street+East+Toronto,BATHURST+STATION,5279
702+Kennedy+Rd+Toronto,BATHURST+STATION,15598
1322+Bloor+Street+West+Toronto,BATHURST+STATION,2646
3576+St.+Clair+Avenue+East+Scarborough,BATHURST+STATION,14539
805A+Wellington+Street+W+Toronto,BATHURST+STATION,3384
422+Gilbert+Avenue+Toronto,BATHURST+STATION,6503
1076+Pape+Avenue+Toronto,BATHURST+STATION,6602
14+Vaughan+Road+Toronto,BATHURST+STATION,1823
558+Bathurst+Street+Toronto,BATHURST+STATION,852
126+Pape+Avenue+Toronto,BATHURST+STATION,7359
60+Newcastle+Street+Toronto,BATHURST+STATION,10508
70+Gerrard+St.+E.+Toronto,BATHURST+STATION,3529
3410+Bayview+Avenue+Toronto,BATHURST+STATION,17398
525+Bloor+Street+East+Toronto,BATHURST+STATION,3229
87+Pembroke+St+Toronto,BATHURST+STATION,4124
101+Ontario+Street+Toronto,BATHURST+STATION,4998
2808+Dundas+St+W+Toronto,BATHURST+STATION,4764
723+Queen+Street+West+Toronto,BATHURST+STATION,2369
