or,de,Time
100+Lippincott+Street+Toronto,BATHURST+STATION,823
973+Lansdowne+Avenue+Toronto,BATHURST+STATION,2539
43+Christie+Street+Toronto,BATHURST+STATION,557
1229+Ellesmere+Road+Toronto,BATHURST+STATION,14899
1651+Sheppard+Ave+West+Toronto,BATHURST+STATION,9820
4222+Kingston+Road+Toronto,BATHURST+STATION,16067
38+Bathrust+St+Toronto,BATHURST+STATION,2228
291+Sherbourne+Street+Toronto,BATHURST+STATION,3174
3306+Kingston+Road+Toronto,BATHURST+STATION,13219
339+George+Street+Toronto,BATHURST+STATION,3091
129+Peter+St+Toronto,BATHURST+STATION,2346
674+Dundas+St.+W+Toronto,BATHURST+STATION,1378
616+Vaughan+Road+Toronto+Toronto,BATHURST+STATION,2947
20+Gerrard+Street+East+Toronto,BATHURST+STATION,2539
2714+Danforth+Avenue+Toronto,BATHURST+STATION,7176
349+George+Street+Toronto,BATHURST+STATION,3038
60+Brant+Street+Toronto,BATHURST+STATION,2048
360+Lesmill+Road+North+York,BATHURST+STATION,11167
25+Canterbury+Place+North+York,BATHURST+STATION,10052
"490+Sherbourne+Street,+2nd+floor+Toronto",BATHURST+STATION,2660
512+Jarvis+St.+Toronto,BATHURST+STATION,2354
86+Lombard+St.+Toronto,BATHURST+STATION,3543
1161+Caledonia+Road+Toronto,BATHURST+STATION,6151
412+Queen+Street+East+Toronto,BATHURST+STATION,4122
702+Kennedy+Rd+Toronto,BATHURST+STATION,11535
1322+Bloor+Street+West+Toronto,BATHURST+STATION,2013
3576+St.+Clair+Avenue+East+Scarborough,BATHURST+STATION,10822
805A+Wellington+Street+W+Toronto,BATHURST+STATION,2618
422+Gilbert+Avenue+Toronto,BATHURST+STATION,4826
1076+Pape+Avenue+Toronto,BATHURST+STATION,4919
14+Vaughan+Road+Toronto,BATHURST+STATION,1286
558+Bathurst+Street+Toronto,BATHURST+STATION,666
126+Pape+Avenue+Toronto,BATHURST+STATION,5614
60+Newcastle+Street+Toronto,BATHURST+STATION,7890
70+Gerrard+St.+E.+Toronto,BATHURST+STATION,2751
3410+Bayview+Avenue+Toronto,BATHURST+STATION,12959
525+Bloor+Street+East+Toronto,BATHURST+STATION,2454
87+Pembroke+St+Toronto,BATHURST+STATION,3222
101+Ontario+Street+Toronto,BATHURST+STATION,3915
2808+Dundas+St+W+Toronto,BATHURST+STATION,3612
723+Queen+Street+West+Toronto,BATHURST+STATION,1841
107+Jarvis+Street+Toronto,BATHURST+STATION,3638
Sherbourne+Street+Toronto,BATHURST+STATION,3085
29+Leslie+Street+Toronto,BATHURST+STATION,6277
2671+Islington+Avenue+Toronto,BATHURST+STATION,12985
502+Spadina+Ave.+Toronto,BATHURST+STATION,1247
191+Spadina+Road+Toronto,BATHURST+STATION,964
95+Wellesley+St.+E.+Toronto,BATHURST+STATION,2364
